first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Sidiki,Cherif,0,0,1,30,3,0.2,1.0,0.0,0,3,0.1,0,0,0,0.1,50,FWD,0.2
Dan,Bentley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40,GK,0.0
Yann,Gboho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
Stephen,Mfuni,0,0,1,3,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,40,DEF,0.2
Evann,Guessand,0,0,2,54,1,2.1,5.4,7.0,0,6,1.5,0,0,0,0.0,54,MID,0.4
Axel,Disasi,0,0,1,139,6,13.4,34.8,2.0,0,-6,5.0,0,1,0,0.1,45,DEF,0.2
Dean,Henderson,0,0,5,270,8,0.0,96.8,0.0,0,37,9.6,0,0,0,1.4,50,GK,1.0
Walter,Benítez,0,0,2,90,3,0.0,18.8,0.0,0,3,1.9,0,0,0,0.1,45,GK,0.4
Chris,Richards,0,0,6,360,11,7.2,108.8,24.0,0,19,13.9,0,0,1,0.6,50,DEF,1.2
Jaydee,Canvot,0,0,2,270,8,8.1,63.2,5.0,0,12,7.6,0,0,0,0.2,48,DEF,0.4
Tyrick,Mitchell,2,0,17,329,10,64.2,109.0,56.0,2,38,22.9,0,0,0,6.1,45,DEF,3.8
Borna,Sosa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Chadi,Riad Dnanou,0,0,1,72,2,1.3,12.6,0.0,0,7,1.4,0,0,0,0.0,43,DEF,0.2
Oscar,Mingueza,0,0,2,16,1,0.4,3.2,0.0,0,5,0.3,0,0,0,0.1,44,DEF,0.5
Ismaïla,Sarr,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,62,MID,0.0
Adam,Wharton,0,0,10,346,10,70.2,53.0,5.0,0,64,12.9,0,0,0,0.8,55,MID,1.8
Yéremy,Pino Santos,0,2,12,226,6,85.8,20.8,23.0,0,60,13.0,0,0,0,0.4,55,MID,2.2
Will,Hughes,0,0,2,29,1,15.3,8.0,0.0,0,9,2.4,0,0,0,7.7,44,MID,0.5
Jefferson,Lerma Solís,0,0,1,6,1,0.3,2.2,0.0,0,3,0.3,0,0,0,0.1,49,MID,0.2
Daichi,Kamada,0,3,18,351,10,77.2,93.8,15.0,0,97,18.6,0,0,1,0.5,50,MID,3.6
Justin,Devenny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Romain,Esse,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Matheus,França de Oliveira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Cheick,Doucouré,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Jesurun,Rak-Sakyi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Rio,Cardines,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Joél,Drakes-Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Jørgen,Strand Larsen,1,0,12,217,5,17.4,49.4,52.0,2,59,12.0,0,0,0,0.6,60,FWD,2.0
Jean-Philippe,Mateta,0,0,2,62,2,12.3,1.4,11.0,0,-3,2.5,0,0,0,1.4,63,FWD,0.3
Eddie,Nketiah,0,1,7,167,7,45.8,34.2,50.0,0,36,13.0,0,0,0,0.5,55,FWD,1.3
Christantus,Uche,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD,0.0
Dwight,McNeil,0,0,3,84,3,5.0,10.0,2.0,0,13,1.7,0,0,0,0.1,54,MID,0.6
Remi,Matthews,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.7,40,GK,0.0
Takehiro,Tomiyasu,0,0,2,144,5,5.0,25.2,6.0,0,6,3.7,0,0,0,0.3,44,DEF,0.5
Anan,Khalaili,1,0,13,289,8,46.3,112.4,46.0,0,31,20.5,0,0,1,0.3,50,DEF,2.6
Zavier,Gozo,0,0,2,28,2,1.6,1.4,0.0,0,6,0.3,0,0,0,0.0,50,MID,0.4
Honest,Ahanor,0,0,3,90,3,11.9,24.6,4.0,0,10,4.1,0,0,0,0.0,45,DEF,0.7
Ben,Chilwell,1,0,8,29,1,4.2,33.4,21.0,0,21,5.9,0,0,0,0.5,45,DEF,1.8
Quinten,Timber,0,0,6,163,5,5.1,29.4,28.0,0,32,6.2,0,0,0,0.0,50,MID,1.2
Darío,Osorio,0,0,1,1,0,0.3,2.0,0.0,0,2,0.2,0,0,0,0.0,55,MID,0.2
Christian,Nørgaard,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Brennan,Johnson,0,0,9,238,1,52.2,23.0,15.0,0,26,9.0,2,0,1,0.1,59,MID,1.5
Jordan,Pickford,0,0,25,450,3,0.0,84.2,0.0,1,122,8.5,3,0,0,9.0,55,GK,4.5
Mark,Travers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,GK,0.0
Tom,King,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,GK,0.0
James,Tarkowski,1,1,43,450,3,14.9,113.6,29.0,7,138,15.7,3,0,0,14.2,61,DEF,7.0
Jarrad,Branthwaite,0,0,27,450,3,6.3,112.8,73.0,0,97,19.1,3,0,0,2.3,55,DEF,4.9
Michael,Keane,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,48,DEF,0.0
Jake,O'Brien,0,0,2,16,0,0.0,1.0,0.0,0,5,0.1,0,0,0,0.3,49,DEF,0.4
Vitalii,Mykolenko,0,0,27,450,3,28.6,86.8,6.0,3,109,12.2,3,0,1,4.2,46,DEF,5.9
Nathan,Patterson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Adam,Aznou,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Kiernan,Dewsbury-Hall,1,0,20,450,3,129.6,101.2,97.0,3,110,32.8,3,0,1,6.2,66,MID,3.0
Jack,Grealish,0,0,6,135,1,14.1,10.4,12.0,0,36,3.7,1,0,0,0.4,65,MID,0.9
James,Garner,0,0,11,328,2,49.1,41.4,9.0,0,69,10.1,2,0,2,0.2,60,MID,1.8
Tyrique,George,1,0,19,309,3,85.4,63.6,71.0,3,77,22.0,2,0,0,1.0,55,MID,3.5
Carlos,Alcaraz Durán,0,0,1,5,0,0.8,5.0,25.0,0,5,2.7,0,0,1,0.1,49,MID,0.2
Harrison,Armstrong,0,1,16,446,3,38.2,57.6,15.0,0,61,11.2,3,0,2,0.4,50,MID,3.2
Tyler,Dibling,0,0,1,24,0,0.0,0.0,0.0,0,10,0.0,0,0,0,0.0,54,MID,0.2
Merlin,Röhl,0,0,6,249,2,32.1,26.6,2.0,0,35,6.1,1,0,1,0.0,49,MID,1.2
Hayden,Hackney,0,1,10,137,1,49.9,40.2,21.0,0,39,11.1,1,0,0,0.2,55,MID,1.8
Norberto Bercique,Gomes Betuncal,0,0,2,31,0,0.3,3.0,5.0,0,5,0.8,0,0,0,0.7,54,FWD,0.4
Thierno,Barry,2,0,20,417,3,59.7,51.4,180.0,2,83,29.1,3,0,0,7.9,56,FWD,3.6
Ainsley,Maitland-Niles,1,0,21,177,1,12.8,43.4,8.0,2,75,6.4,2,0,0,1.0,45,DEF,4.7
Braiden,Graham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Bernd,Leno,0,0,15,360,7,0.0,93.0,0.0,2,59,9.3,1,0,0,3.2,45,GK,3.3
Benjamin,Lecomte,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,40,GK,0.0
Alfie,McNally,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
Joachim,Andersen,0,0,2,180,4,35.8,42.2,8.0,0,12,8.6,0,0,1,0.1,50,DEF,0.4
Antonee,Robinson,0,0,10,339,7,76.7,63.6,18.0,0,46,15.8,1,0,0,1.4,45,DEF,2.2
Jorge,Cuenca Barreno,0,0,3,90,3,21.3,32.8,0.0,0,7,5.4,0,0,0,0.0,45,DEF,0.7
Kenny,Tete,0,0,0,27,0,0.3,1.6,2.0,0,-1,0.4,0,0,1,0.2,44,DEF,0.0
Calvin,Bassey,0,0,9,360,7,13.5,70.4,23.0,0,43,10.7,1,0,1,0.7,45,DEF,2.0
Timothy,Castagne,0,2,19,318,6,53.4,69.8,55.0,0,61,17.8,2,0,1,0.9,45,DEF,4.2
Alex,Iwobi,0,0,9,338,7,104.2,39.6,23.0,0,67,16.7,1,0,0,0.6,54,MID,1.7
Emile,Smith Rowe,0,0,3,38,0,23.8,6.6,9.0,0,11,4.0,0,0,0,0.2,54,MID,0.6
Kevin,Santos Lopes de Macedo,0,0,3,42,0,6.7,5.4,1.0,0,8,1.3,0,0,0,0.0,53,MID,0.6
Oscar,Bobb,0,0,10,273,6,115.0,38.0,69.0,0,47,22.2,2,0,0,0.3,55,MID,1.8
Sander,Berge,0,0,8,273,5,65.6,41.4,15.0,0,51,12.2,1,0,0,0.3,49,MID,1.6
Tom,Cairney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Josh,King,2,0,22,346,7,60.4,108.2,133.0,3,99,30.2,1,0,0,2.1,55,MID,4.0
Ryan,Sessegnon,0,0,3,50,1,26.3,17.2,31.0,0,13,7.5,0,0,0,0.3,44,DEF,0.7
Harrison,Reed,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,44,MID,0.0
Rodrigo,Muniz Carvalho,0,0,3,28,0,21.9,11.2,36.0,0,15,6.9,0,0,0,0.4,54,FWD,0.6
Jonah,Kusi-Asare,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,5.6,45,FWD,0.0
Gonzalo,García,1,0,12,346,7,32.0,53.0,113.0,0,50,19.8,1,0,0,3.7,60,FWD,2.0
César,Palacios,1,0,11,207,6,22.3,39.6,62.0,1,43,12.4,0,0,1,0.2,54,MID,2.0
Shea,Charles,0,0,9,213,4,42.7,45.4,14.0,0,44,10.2,1,0,0,0.1,50,MID,1.8
Luc,De Fougerolles,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Macaulay,Zepa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,MID,0.0
Hugo,Larsson,0,0,2,24,0,1.8,3.6,9.0,0,6,1.5,0,0,0,0.0,50,MID,0.4
Manuel Ángel,Morán Ibáñez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
David,Affengruber,0,0,8,90,0,3.3,18.6,0.0,0,23,2.2,1,0,0,0.0,45,DEF,1.8
Tim,Iroegbunam,0,0,2,70,0,0.2,3.0,0.0,0,10,0.3,0,0,1,0.0,50,MID,0.4
Dillon,Phillips,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,40,GK,0.0
Jack,Butland,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK,0.0
Harvey,Cartwright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Thimothée,Lo-Tutala,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
John,Egan,0,0,26,437,4,1.1,96.8,8.0,1,71,10.7,3,0,1,7.1,41,DEF,6.3
Charlie,Hughes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF,0.0
Semi,Ajayi,1,0,27,423,4,3.0,76.2,41.0,2,79,12.0,3,0,1,14.3,42,DEF,6.4
Lewie,Coyle,0,0,14,348,4,27.1,17.4,5.0,0,49,5.0,2,0,1,0.7,40,DEF,3.5
Cody,Drameh,0,0,2,65,0,0.4,6.4,1.0,0,8,0.8,0,0,0,0.0,40,DEF,0.5
Ryan,Giles,0,1,24,444,4,93.7,70.6,6.0,2,94,17.1,3,0,1,2.9,40,DEF,6.0
Matty,Jacob,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Cathal,McCarthy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Paddy,McNair,0,0,1,26,0,0.0,4.2,0.0,0,3,0.4,0,0,0,0.1,40,DEF,0.2
Mohamed,Belloumi,2,2,31,394,3,38.4,124.8,59.0,2,113,22.2,3,0,1,4.4,51,MID,6.1
Liam,Millar,1,0,6,50,0,1.1,36.0,15.0,0,26,5.2,0,0,1,0.0,50,MID,1.2
Kieran,Dowell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,MID,0.0
Matt,Crooks,0,0,3,203,4,2.8,30.0,0.0,0,17,3.2,1,0,3,0.5,44,MID,0.7
Regan,Slater,0,1,15,437,4,61.3,58.0,17.0,0,67,13.7,3,0,1,5.4,45,MID,3.3
Eliot,Matazo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Abdülkadir,Ömür,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Abu,Kamara,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Óscar,Zambrano,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Oli,McBurnie,0,2,14,441,4,56.5,44.2,94.0,0,56,19.4,3,0,2,2.0,55,FWD,2.5
David,Akintola,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Darko,Gyabi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Enis,Destan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,FWD,0.0
Mason,Burstow,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD,0.0
Joe,Gelhardt,0,0,1,7,0,0.0,0.0,0.0,0,5,0.0,0,0,0,0.0,50,MID,0.2
Matt,Targett,0,0,1,5,0,0.0,0.4,0.0,0,3,0.0,0,0,0,1.7,40,DEF,0.2
Hidemasa,Morita,0,0,1,45,0,13.4,11.0,0.0,0,6,2.4,0,0,0,0.0,50,MID,0.2
Konstantinos,Tzolakis,0,0,34,450,4,0.0,101.8,0.0,6,128,10.2,3,0,1,11.6,46,GK,7.4
Jens,Hjertø-Dahl,0,0,1,8,0,0.0,0.0,0.0,0,4,0.0,0,0,0,0.1,49,MID,0.2
Elliot,Stroud,0,0,7,249,1,22.7,8.4,12.0,0,17,3.8,2,0,1,0.1,50,MID,1.4
Lucas,Herrington,0,0,5,197,3,0.7,19.2,0.0,0,19,2.0,0,0,0,0.6,40,DEF,1.2
Nobel,Mendy,1,0,25,249,1,1.4,108.2,54.0,1,69,16.4,2,0,0,6.4,41,DEF,6.1
Lucas,Gourna-Douath,0,0,4,138,0,22.5,26.2,0.0,0,18,4.9,1,0,1,0.0,50,MID,0.8
Mohamed-Ali,Cho,1,0,9,72,1,18.8,10.6,38.0,0,36,6.8,0,0,0,0.0,50,MID,1.8
Ilyas,Ansah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD,0.0
Robinio,Vaz,0,0,2,20,0,0.5,0.0,0.0,0,8,0.0,0,0,0,0.1,50,FWD,0.4
Brooke,Norton-Cuffy,0,0,1,34,0,0.6,2.2,9.0,0,3,1.2,0,0,1,0.3,40,DEF,0.2
Sorba,Thomas,0,0,4,119,3,25.6,8.8,4.0,0,15,3.8,0,0,0,0.0,55,MID,0.7
Christos,Mouzakitis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Issa,Diop,0,0,12,450,11,13.7,90.2,4.0,0,45,10.8,0,0,0,13.2,40,DEF,3.0
Saša,Lukić,0,1,11,400,10,64.4,61.4,6.0,0,67,13.2,0,0,2,0.1,50,MID,2.2
Christian,Walton,0,0,2,90,1,0.0,0.0,0.0,0,10,0.0,0,0,0,0.4,44,GK,0.5
Alex,Palmer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,40,GK,0.0
David,Button,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40,GK,0.0
Cédric,Kipré,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,39,DEF,0.0
Dara,O'Shea,0,0,10,450,11,60.5,101.4,19.0,0,23,18.0,0,0,0,2.8,40,DEF,2.5
Leif,Davis,2,2,25,450,11,55.6,134.4,108.0,1,52,29.9,0,0,0,6.8,40,DEF,6.2
Jacob,Greaves,0,0,3,357,10,16.9,68.6,4.0,0,12,9.0,0,0,1,1.1,40,DEF,0.8
Ben,Johnson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Darnell,Furlong,0,0,1,17,1,0.5,5.0,0.0,0,-1,0.6,0,0,0,0.6,39,DEF,0.3
Marcelino,Núñez,0,0,6,140,4,19.4,24.6,6.0,0,32,5.0,0,0,0,0.1,49,MID,1.2
Azor,Matusiwa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Wes,Burns,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Jack,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Jack,Clarke,1,0,11,170,2,25.3,42.0,43.0,1,48,11.0,0,0,1,0.2,54,MID,2.0
Chiedozie,Ogbene,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Abdul,Fatawu,0,1,8,352,10,114.9,61.6,20.0,0,71,19.7,0,1,2,0.2,54,MID,1.5
Emersonn,Correia da Silva,2,1,26,317,6,49.8,96.4,83.0,6,110,22.9,0,0,0,3.4,55,FWD,4.7
George,Hirst,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,FWD,0.0
Jaden,Philogene,0,0,2,52,1,0.8,3.4,9.0,0,11,1.3,0,0,0,0.1,54,MID,0.4
Sam,Szmodics,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Chuba,Akpom,1,0,7,78,4,1.7,34.6,19.0,0,36,5.5,0,0,0,1.2,50,FWD,1.4
Sindre,Walle Egeli,0,0,1,10,0,0.1,0.0,0.0,0,3,0.0,0,0,0,3.6,45,FWD,0.2
Ali,Al-Hamadi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,FWD,0.0
Kasey,McAteer,0,0,3,42,0,1.8,4.6,7.0,0,12,1.4,0,0,0,1.1,45,MID,0.7
Anis,Mehmeti,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Kayne,van Oevelen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,GK,0.0
Daizen,Maeda,0,0,8,259,8,5.2,28.8,43.0,0,32,7.4,0,0,0,0.2,54,MID,1.5
Kjell,Scherpen,0,0,7,360,10,0.0,103.6,0.0,0,40,10.3,0,0,0,0.6,45,GK,1.6
Florentino Ibrain,Morris Luís,0,0,2,30,0,21.3,9.0,2.0,0,9,3.2,0,0,0,0.1,49,MID,0.4
Julio,Enciso,0,2,15,413,11,62.7,55.8,75.0,0,83,19.4,0,0,1,0.8,55,MID,2.7
Abdoul,Ouattara,0,0,6,131,2,24.8,11.6,0.0,0,29,3.6,0,0,0,0.9,40,DEF,1.5
Cameron,Humphreys,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Exequiel,Palacios,0,0,11,275,7,40.4,45.4,4.0,0,66,9.0,0,0,0,0.1,50,MID,2.2
Zian,Flemming,1,0,6,60,1,1.8,38.2,51.0,0,36,9.1,0,0,1,0.1,55,FWD,1.1
Harry,Wilson,0,0,5,145,1,52.4,19.2,12.0,0,19,8.5,1,0,1,2.0,62,MID,0.8
Lucas Estella,Perri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,GK,0.0
Jaka,Bijol,0,0,12,164,2,0.6,38.2,15.0,2,29,5.4,1,0,0,0.7,50,DEF,2.4
Joe,Rodon,0,0,7,123,0,14.7,23.0,7.0,0,25,4.5,1,0,0,0.8,43,DEF,1.6
Jayden,Bogle,2,0,37,299,1,32.6,108.8,108.0,6,108,24.9,3,0,1,6.1,46,DEF,8.0
Gabriel,Gudmundsson,0,0,8,162,1,9.8,22.6,6.0,0,35,3.9,1,0,0,0.1,45,DEF,1.8
James,Justin,0,0,18,360,3,41.2,84.4,36.0,2,60,16.1,1,0,0,1.5,45,DEF,4.0
Sebastiaan,Bornauw,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Tarik,Muharemović,0,1,21,360,3,12.7,133.4,23.0,0,79,16.9,1,0,0,4.3,50,DEF,4.2
Anton,Stach,1,0,22,357,2,76.2,99.8,51.0,3,73,22.7,2,0,0,2.6,60,MID,3.7
Noah,Okafor,1,0,15,224,1,39.9,59.2,37.0,1,65,13.6,2,0,0,0.4,58,MID,2.6
Brenden,Aaronson,0,0,6,172,3,3.0,10.4,9.0,0,31,2.3,1,0,0,0.5,54,MID,1.1
Ethan,Ampadu,0,1,16,360,3,42.9,69.8,5.0,0,68,11.8,1,0,0,0.9,54,MID,3.0
Sean,Longstaff,0,0,2,10,1,0.2,0.0,0.0,0,7,0.0,0,0,0,0.1,49,MID,0.4
Wilfried,Gnonto,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Jack,Harrison,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Daniel,James,0,0,2,29,1,1.1,0.0,15.0,0,6,1.4,0,0,0,0.1,49,MID,0.4
Ilia,Gruev,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Tanaka,Ao,0,2,12,188,1,17.1,50.0,15.0,0,48,8.2,1,0,0,0.3,49,MID,2.4
Dominic,Calvert-Lewin,2,1,20,329,2,28.3,93.8,134.0,4,66,25.1,2,0,3,25.7,60,FWD,3.3
Lukas,Nmecha,0,1,6,50,1,22.4,18.4,15.0,0,24,5.5,0,0,0,0.5,54,FWD,1.1
Joël,Piroe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,FWD,0.0
Mateo,Joseph Fernández-Regatillo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,FWD,0.0
James,Trafford,0,0,18,360,3,0.0,120.8,0.0,2,83,12.1,1,0,0,5.4,50,GK,3.6
Nico,Elvedi,0,0,7,236,3,23.1,62.2,22.0,0,29,10.8,0,0,0,0.1,45,DEF,1.6
Jayden,Lienou,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Alfie,Cresswell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Alex,Cairns,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK,0.0
Michael,Zetterer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,40,GK,0.0
Melvin,Bard,0,0,1,18,1,10.3,4.4,0.0,0,1,1.5,0,0,0,0.0,45,DEF,0.2
Jean-Mattéo,Bahoya,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Alisson,Becker,0,0,19,360,4,0.0,76.8,0.0,3,66,7.7,2,0,1,3.9,55,GK,3.5
Giorgi,Mamardashvili,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,GK,0.0
Freddie,Woodman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,40,GK,0.0
Armin,Pecsi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Vitezslav,Jaros,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Harvey,Davies,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK,0.0
Virgil,van Dijk,0,0,17,360,4,20.5,99.2,26.0,0,70,14.6,2,0,1,16.3,65,DEF,2.6
Jeremie,Frimpong,0,0,2,178,4,76.5,39.4,16.0,0,24,13.2,0,0,1,1.8,53,DEF,0.4
Milos,Kerkez,0,0,7,295,4,45.0,65.6,12.0,0,41,12.3,1,0,2,2.3,54,DEF,1.3
Joe,Gomez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,DEF,0.0
Conor,Bradley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,DEF,0.0
Wellity,Lucky,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Jeremy,Jacquet,0,0,18,325,4,42.8,86.2,4.0,3,86,13.3,2,0,1,3.3,50,DEF,3.6
Giovanni,Leoni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Kostas,Tsimikas,0,0,2,64,0,2.9,6.4,9.0,0,6,1.8,0,0,0,0.1,49,DEF,0.4
Calvin,Ramsay,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Florian,Wirtz,0,1,12,332,4,108.0,51.8,85.0,0,67,24.5,2,0,1,6.0,73,MID,1.6
Cody,Gakpo,1,3,29,280,4,105.8,117.6,63.0,5,100,28.6,1,0,0,12.8,72,MID,4.0
Dominik,Szoboszlai,1,0,18,360,4,173.4,107.2,55.0,1,98,33.6,2,0,0,34.4,70,MID,2.6
Rio,Ngumoha,0,0,4,99,2,8.1,4.4,11.0,0,13,2.1,0,0,0,0.5,57,MID,0.7
Federico,Chiesa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,53,MID,0.0
Ryan,Gravenberch,0,1,8,181,2,41.2,50.6,6.0,0,48,9.8,0,0,0,1.2,58,MID,1.4
Alexis,Mac Allister,0,0,6,216,2,44.3,44.2,22.0,0,40,11.0,1,0,1,1.3,54,MID,1.1
Curtis,Jones,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
Endo,Wataru,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,MID,0.0
Trey,Nyoni,0,0,2,19,0,2.3,6.6,0.0,0,6,0.9,0,0,0,0.0,49,MID,0.4
Stefan,Bajčetić Maquieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Victor,Munoz,1,1,14,239,2,31.4,50.4,86.0,0,53,16.8,1,0,1,1.0,65,MID,2.2
